TwoSAT,DumbSAT
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3998
1000,2138
0,1000
0,0
0,999
0,1999
0,5003
999,4000
0,3996
0,4128
0,37096
999,73151
0,9010
0,21012
1002,78711
0,75365
0,79408
999,15851
0,37123
0,16170
0,82122
999,353389
999,311997
1000,114507
0,339930
999,25000
0,11004
1000,309308
0,11000
999,74999
999,156002
0,184005
1002,100991
998,134000
0,300000
0,1192265
0,624694
0,214779
998,1367298
2000,663001
998,446186
0,371528
1000,5864522
2196,880737
998,1068689
2001,238001
2002,6092839
0,5789607
1999,262000
997,2721619
1000,2737326
0,534504
0,1363831
3995,25591978
1999,24984539
0,12137054
1004,6349649
3995,24999569
1999,2612440
0,280999
1002,46965877
999,13260878
7109,103588842
997,50090457
3003,25400132
1998,25342377
0,16726541
998,13082909
2999,51484380
1004,12109818
9995,433303311
3000,106282106
0,206789893
2000,206364512
1998,100104264
2005,119490873
995,2612398
0,101691096
6000,213809103
1003,214538247
